,Unnamed: 0,Title,Artist(s),Track_ID,Genre
356,57,"Oh, Babe, What Would You Say?",Hurricane Smith,49142116,Rock
357,58,I Believe in You (You Believe in Me),Johnnie Taylor,100516221,R&B/Soul
358,59,Sing,The Carpenters,40149575,Pop
359,60,Ain't No Woman (Like the One I've Got),The Four Tops,119715021,R&B/Soul
360,61,Dueling Banjos,Eric Weissberg & Steve Mandell,missing,missing
361,62,Higher Ground,Stevie Wonder,missing,missing
362,63,Here I Am (Come and Take Me),Al Green,14193694,R&B/Soul
363,64,My Maria,B.W. Stevenson,171408334,Rock
364,65,Superfly,Curtis Mayfield,44958556,R&B/Soul
365,66,Last Song,Edward Bear,186499739,Music
366,67,Get Down,Gilbert O'Sullivan,37912304,Pop
367,68,Reelin' in the Years,Steely Dan,91116950,Fusion
368,69,Hocus Pocus,Focus,114719237,Rock
369,70,Yesterday Once More,The Carpenters,40149580,Pop
370,71,Boogie Woogie Bugle Boy,Bette Midler,30773362,Vocal
371,72,Clair,Gilbert O'Sullivan,37912341,Pop
372,73,Do It Again,Steely Dan,91116945,Pop/Rock
373,74,Kodachrome,Paul Simon,87648264,Singer/Songwriter
374,75,Why Can't We Live Together,Timmy Thomas,missing,missing
375,76,Do You Wanna Dance?,Bette Midler,37927490,Vocal
376,77,So Very Hard to Go,Tower of Power,1508286,R&B/Soul
377,78,Rockin' Pneumonia and the Boogie Woogie Flu,Johnny Rivers,150917303,Pop
378,79,Ramblin' Man,The Allman Brothers Band,187985165,Music
379,80,Masterpiece,The Temptations,2658111,R&B/Soul
380,81,Peaceful,Helen Reddy,983884,Pop
381,82,One of a Kind (Love Affair),The Spinners,67617999,R&B/Soul
382,83,Funny Face,Donna Fargo,100838242,Country
383,84,Funky Worm,Ohio Players,13101271,R&B/Soul
384,85,Angie,The Rolling Stones,166991701,Soft Rock
385,86,Jambalaya (On the Bayou),Blue Ridge Rangers,missing,missing
386,87,Don't Expect Me to Be Your Friend,Lobo,93603897,Pop
387,88,Break Up to Make Up,The Stylistics,36587560,R&B/Soul
388,89,Daisy a Day,Jud Strunk,missing,missing
389,90,Also Sprach Zarathustra (2001),Deodato,missing,missing
390,91,Stir It Up,Johnny Nash,95545869,Pop
391,92,Money,Pink Floyd,16279585,Blues-Rock
392,93,Gypsy Man,War,41605974,R&B/Soul
393,94,The World Is a Ghetto,War,127099160,R&B/Soul
394,95,Yes We Can Can,The Pointer Sisters,80442050,Pop
395,96,Free Ride,The Edgar Winter Group,missing,missing
396,97,Space Oddity,David Bowie,missing,missing
397,98,It Never Rains in Southern California,Albert Hammond,14060203,Pop
398,99,The Twelfth of Never,Donny Osmond,146721266,Pop
399,100,Papa Was a Rollin' Stone,The Temptations,missing,missing
400,1,The Way We Were,Barbra Streisand,missing,missing
401,2,Seasons in the Sun,Terry Jacks,16280859,Disco
402,3,Love's Theme,Love Unlimited Orchestra,91248376,R&B/Soul
403,4,Come and Get Your Love,Redbone,91526359,Pop
404,5,Dancing Machine,The Jackson 5,missing,missing
405,6,The Loco-Motion,Grand Funk Railroad,95434421,Rock
406,7,TSOP (The Sound of Philadelphia),MFSB,98790225,Pop
407,8,The Streak,Ray Stevens,102216040,Country
408,9,Bennie and the Jets,Elton John,127967798,Rock
409,10,One Hell of a Woman,Mac Davis,101583262,Country
410,11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,missing,missing
411,12,Jungle Boogie,Kool & the Gang,18698843,R&B/Soul
412,13,Midnight at the Oasis,Maria Muldaur,1114281,Pop
413,14,You Make Me Feel Brand New,The Stylistics,14645509,R&B/Soul
414,15,Show and Tell,Al Wilson,missing,missing
415,16,Spiders and Snakes,Jim Stafford,1194594,Rock
416,17,Rock On,David Essex,13808028,Rock
417,18,Sunshine on My Shoulders,John Denver,missing,missing
418,19,Sideshow,Blue Magic,missing,missing
419,20,Hooked on a Feeling,Blue Swede,78701793,Pop
420,21,Billy Don't Be a Hero,Bo Donaldson and The Heywoods,121937374,Pop
421,22,Band on the Run,Paul McCartney and Wings,missing,missing
422,23,The Most Beautiful Girl,Charlie Rich,97917097,Country
423,24,Time in a Bottle,Jim Croce,127101651,Folk-Rock
424,25,Annie's Song,John Denver,89769996,Traditional Country
425,26,Let Me Be There,Olivia Newton-John,92123300,Pop
